,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2023-04-10,17:00,Eliteserien,Matchweek 1,Mon,Away,W,2,0,Sarpsborg 08,52.0,6932.0,Patrick Berg,4-3-3,Ola Nilsen,Match Report,,18.0,7.0,,0,0,2023,BodoGlimt
1,2023-04-16,17:00,Eliteserien,Matchweek 2,Sun,Home,W,4,0,Stabæk,55.0,6583.0,Patrick Berg,4-3-3,Marius Grøtta,Match Report,,19.0,7.0,,0,1,2023,BodoGlimt
2,2023-04-23,17:00,Eliteserien,Matchweek 3,Sun,Away,W,3,0,Aalesund,64.0,4950.0,Patrick Berg,4-3-3,Mohammad Aslam,Match Report,,20.0,6.0,,0,0,2023,BodoGlimt
3,2023-04-29,18:00,Eliteserien,Matchweek 4,Sat,Home,D,2,2,Brann,48.0,7626.0,Patrick Berg,4-3-3,Svein Oddvar Moen,Match Report,,15.0,5.0,,0,0,2023,BodoGlimt
4,2023-05-03,18:00,Eliteserien,Matchweek 18,Wed,Home,W,2,0,Odd,49.0,5944.0,Patrick Berg,4-3-3,Sivert Amland,Match Report,,7.0,3.0,,0,0,2023,BodoGlimt
5,2023-05-07,19:15,Eliteserien,Matchweek 5,Sun,Away,W,2,1,Lillestrøm,56.0,8070.0,Patrick Berg,4-3-3,Rohit Saggi,Match Report,,13.0,5.0,,0,0,2023,BodoGlimt
6,2023-05-13,17:00,Eliteserien,Matchweek 6,Sat,Home,W,3,2,Rosenborg,64.0,8244.0,Patrick Berg,4-3-3,Kristoffer Hagenes,Match Report,,12.0,3.0,,0,0,2023,BodoGlimt
7,2023-05-16,18:00,Eliteserien,Matchweek 7,Tue,Away,W,3,2,Tromsø,63.0,6691.0,Patrick Berg,4-3-3,Ola Nilsen,Match Report,,15.0,7.0,,1,1,2023,BodoGlimt
8,2023-05-29,17:00,Eliteserien,Matchweek 8,Mon,Home,W,5,1,Viking,54.0,6633.0,Brede Moe,4-3-3,Espen Andreas Eskås,Match Report,,20.0,9.0,,0,0,2023,BodoGlimt
9,2023-06-04,17:00,Eliteserien,Matchweek 9,Sun,Away,W,3,1,Vålerenga,53.0,12018.0,Patrick Berg,4-3-3,Tore Hansen,Match Report,,9.0,5.0,,0,0,2023,BodoGlimt
10,2023-06-11,17:00,Eliteserien,Matchweek 10,Sun,Home,W,3,0,HamKam,79.0,6291.0,Patrick Berg,4-3-3,Steinar Hauge,Match Report,,28.0,11.0,,0,0,2023,BodoGlimt
11,2023-06-25,19:15,Eliteserien,Matchweek 11,Sun,Away,L,0,2,Strømsgodset,71.0,6766.0,Brede Moe,4-3-3,Sigurd Kringstad,Match Report,,19.0,8.0,,0,0,2023,BodoGlimt
12,2023-07-02,19:15,Eliteserien,Matchweek 12,Sun,Home,D,2,2,Molde,79.0,7409.0,Patrick Berg,4-3-3,Kristoffer Hagenes,Match Report,,33.0,11.0,,0,0,2023,BodoGlimt
13,2023-07-09,17:00,Eliteserien,Matchweek 13,Sun,Away,W,2,0,Odd,52.0,5474.0,Patrick Berg,4-3-3,Mohammad Aslam,Match Report,,11.0,5.0,,0,0,2023,BodoGlimt
14,2023-07-16,17:00,Eliteserien,Matchweek 14,Sun,Home,W,2,1,Haugesund,59.0,6661.0,Patrick Berg,4-3-3,Svein Sinnes,Match Report,,24.0,11.0,,0,0,2023,BodoGlimt
15,2023-07-23,17:00,Eliteserien,Matchweek 15,Sun,Away,W,5,2,Sandefjord,64.0,4391.0,Patrick Berg,4-3-3,Ajdin Medic,Match Report,,23.0,8.0,,1,1,2023,BodoGlimt
16,2023-07-30,19:15,Eliteserien,Matchweek 16,Sun,Home,L,0,2,Tromsø,68.0,8192.0,Patrick Berg,4-3-3,Tore Hansen,Match Report,,20.0,4.0,,0,0,2023,BodoGlimt
17,2023-08-06,19:15,Eliteserien,Matchweek 17,Sun,Away,L,2,3,Viking,54.0,15703.0,Brede Moe,4-3-3,Ola Nilsen,Match Report,,19.0,8.0,,0,0,2023,BodoGlimt
18,2023-08-20,17:00,Eliteserien,Matchweek 19,Sun,Away,W,3,1,Haugesund,63.0,5342.0,Ulrik Saltnes,4-3-3,Mohammad Aslam,Match Report,,20.0,12.0,,0,0,2023,BodoGlimt
19,2023-09-03,19:15,Eliteserien,Matchweek 21,Sun,Away,D,4,4,HamKam,79.0,4532.0,Ulrik Saltnes,4-3-3,Sigurd Kringstad,Match Report,,30.0,10.0,,0,0,2023,BodoGlimt
20,2023-09-17,17:00,Eliteserien,Matchweek 22,Sun,Away,D,1,1,Rosenborg,60.0,21266.0,Patrick Berg,4-3-3,Rohit Saggi,Match Report,,17.0,4.0,,0,0,2023,BodoGlimt
21,2023-09-24,17:00,Eliteserien,Matchweek 23,Sun,Home,W,4,2,Vålerenga,67.0,7388.0,Ulrik Saltnes,4-3-3,Svein Oddvar Moen,Match Report,,14.0,7.0,,2,2,2023,BodoGlimt
